Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
P-n76-k5,671.7597352707628,712.3868384166608,31.78359065287073,124477.6,75/75
P-n101-k4,728.3536060484515,757.148979122595,19.132791422739608,127619.2,100/100
P-n50-k10,720.5742680632463,753.2813796126172,30.42159277382067,147317.6,49/49
P-n101-k4,732.153078646246,744.0573403383299,10.576148708861306,223378.0,100/100
P-n16-k8,451.33508020861797,451.4574825928581,0.2737000517689148,38593.8,15/15
P-n19-k2,212.6569041858923,215.91177838015818,4.517176873951565,11937.2,18/18
P-n20-k2,217.41558334616656,220.64774179607858,7.227326008053538,86515.6,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,2380.0,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,3857.2,21/21
P-n22-k8,588.7935242586069,593.6063292475824,6.590204643338202,44601.4,21/21
P-n23-k8,531.1738035458811,539.2178794043274,12.899049733406311,20259.6,22/22
P-n40-k5,461.72617176318863,466.0339367877991,6.3014249143563905,23740.0,39/39
P-n45-k5,514.1906724850744,531.4506850123398,15.945610273757069,133940.0,44/44
P-n50-k10,709.2273271743861,774.2329266397636,43.604565742192115,93868.4,49/49
P-n50-k7,580.6633806152772,586.8473892459187,5.427504380949709,115161.8,49/49
P-n50-k8,642.4981839216362,651.2359561945779,9.156646556883468,131521.2,49/49
P-n51-k10,819.8858240901723,858.9062779622649,38.53685139762253,103241.2,50/50
P-n55-k10,717.9611613122738,737.530453855911,12.12845948140357,87262.0,54/54
P-n55-k15,962.7155165793563,974.290947183018,9.400309773171863,93020.0,54/54
P-n55-k7,584.2326660087142,600.0564984866427,15.7353669564908,45016.0,54/54
P-n55-k8,615.5153848533888,633.9793666607687,15.744978240929951,77783.2,54/54
P-n60-k10,784.1697100813585,830.1108552408216,34.223816526937156,17064.4,59/59
P-n60-k15,1017.3741481483416,1038.6337953810475,20.497576978606237,153744.4,59/59
P-n65-k10,819.6087207199785,858.2767216880104,32.41708048948546,117564.4,64/64
P-n70-k10,930.2608644852457,959.8851040484212,45.748435524182035,103039.2,69/69
P-n76-k4,635.0416152341024,663.7130531213352,20.72112169920801,171921.2,75/75
P-n76-k5,703.988589420743,745.3768218931685,24.13733048215292,135440.0,75/75
P-n101-k4,723.1902702981018,741.6139051063893,14.840985847375348,184374.0,100/100
P-n16-k8,451.33508020861797,451.335080208618,4.9227844771419234E-14,146628.6,15/15
P-n19-k2,212.6569041858923,219.741322107759,4.10115933021075,50721.2,18/18
P-n20-k2,218.30889390027937,224.02214639913709,7.248285838806757,37672.0,19/19
P-n21-k2,212.71153970290385,213.66611787004658,2.13450167156827,6260.0,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,5230.8,21/21
P-n22-k8,588.7935242586069,624.2858966194024,37.93561764955407,41425.6,21/21
P-n23-k8,531.1738035458811,533.8290964268642,4.597331049218135,41227.2,22/22
P-n40-k5,461.72617176318863,479.23564385835454,25.05547859160455,109277.4,39/39
P-n45-k5,524.9992555073553,538.6264902811041,11.626571120584233,81740.0,44/44
P-n50-k10,730.7205838530855,764.5008686679655,22.915823625614525,49630.4,49/49
P-n50-k7,571.0516558363638,581.5968415095887,10.372268339912807,145051.6,49/49
P-n50-k8,651.799436789875,668.1179141898368,10.784077150222421,125865.2,49/49
P-n51-k10,824.0075090007443,853.130096395699,39.098398959567696,244600.8,50/50
P-n55-k10,710.0811531898287,721.9685807984345,12.661761648752329,174264.8,54/54
P-n55-k15,964.6792833390922,979.6735523028221,13.930134975112853,162346.4,54/54
P-n55-k7,576.9625076515345,604.3231988212447,15.571908914134726,113335.6,54/54
P-n55-k8,588.1559114582077,600.3298404861952,13.586697723129296,151434.4,54/54
P-n60-k10,781.7389177101818,810.6848054059075,38.52417657637619,74510.2,59/59
P-n60-k15,1000.614660776891,1020.9476687409173,15.21131090521303,179110.6,59/59
P-n65-k10,835.2981328596463,869.944778743043,27.254200041430888,110167.6,64/64
P-n70-k10,886.8568535328236,955.8304638072754,56.19682204393801,193656.4,69/69
P-n76-k4,636.5049983339188,674.0856132715188,34.607315285509216,153741.2,75/75
P-n76-k5,689.1680220279202,746.8143078263038,42.72603511012294,193090.8,75/75
P-n101-k4,716.9846296668811,737.4167502311986,24.847939826559315,118465.2,100/100
P-n16-k8,451.33508020861797,451.4574825928581,0.2737000517689466,32605.0,15/15
P-n19-k2,212.6569041858923,216.91524396517494,3.887314591057778,22158.4,18/18
P-n20-k2,217.41558334616656,226.81833780285024,8.979321269343322,56458.0,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,20180.0,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,11856.4,21/21
P-n22-k8,588.7935242586069,600.2801162918007,13.631906537404252,79173.4,21/21
P-n23-k8,531.1738035458811,536.0308124996635,5.545964169294056,42277.6,22/22
P-n40-k5,469.4129869579073,482.467867384824,15.998015929933056,132996.2,39/39
P-n45-k5,537.3858398559998,545.7017516121612,8.198553181997863,85500.0,44/44
P-n50-k10,723.4410382185986,738.6211845342141,18.53654267904031,79203.2,49/49
P-n50-k7,572.2229377254062,598.9026577548092,26.55262131279163,163439.2,49/49
P-n50-k8,651.3177565459442,679.6929832909243,49.448289304188876,157498.4,49/49
P-n51-k10,826.4088716812471,865.8660530362944,32.17916347402643,74436.0,50/50
P-n55-k10,707.7824776714499,727.8105587579319,17.449418389799046,166543.6,54/54
P-n55-k15,964.4090873526454,979.6016825547009,11.831584614342757,168002.4,54/54
P-n55-k7,591.388965167179,603.026443713579,7.9232532293175595,137527.2,54/54
P-n55-k8,596.6199771621111,615.5140127149101,18.11609991799723,225239.2,54/54
P-n60-k10,783.7044751288362,824.7686558593316,46.16897965214509,147553.6,59/59
P-n60-k15,1000.2033470823062,1025.8533636215188,16.104414879111943,78811.6,59/59
P-n65-k10,844.1305053054136,861.0330108854674,12.759857971166493,135091.6,64/64
P-n70-k10,888.3648192731828,947.5323616639123,34.67429808219906,78597.2,69/69
P-n76-k4,654.4024383349957,673.2302884127689,17.096486209419353,98312.4,75/75
P-n76-k5,671.6379748032427,742.673219509204,50.52746307868245,84010.8,75/75
P-n101-k4,716.9128462846106,743.3451466856774,16.50346148830621,110266.4,554.6,100/100
P-n16-k8,451.33508020861797,451.335080208618,5.684341886080802E-14,17278.4,88.2,15/15
P-n19-k2,212.6569041858923,218.76009674937708,3.5339211524908096,38843.6,192.8,18/18
P-n20-k2,217.41558334616656,221.83246461686426,6.751624320763651,19734.4,98.2,19/19
