Instance,Configuration,Cost,TimeMs,BestEval
B-n57-k9,nn_sa,1660.485268619892,7376,344740
B-n57-k9,nn_lns,1636.5635941940786,1507,258916
B-n57-k9,sa_lns,1654.6743671630284,6584,156772
B-n57-k9,all,1658.6158707766995,6971,46948
B-n63-k10,baseline,1872.3531605906733,767,196324
B-n63-k10,nn,1560.040614143471,826,49252
B-n63-k10,sa,1743.3234615223198,6571,156004
B-n63-k10,lns,1584.9957202976693,1305,45412
B-n63-k10,nn_sa,1564.7242715526104,7406,38116
B-n63-k10,nn_lns,1560.0406141434707,1180,16612
B-n63-k10,sa_lns,1584.823087320799,7169,135460
B-n63-k10,all,1560.0406141434707,7150,9124
B-n64-k9,baseline,1052.0529919630171,711,222436
B-n64-k9,nn,1031.0038073283051,752,77092
B-n64-k9,sa,981.2457804459823,7145,349732
B-n64-k9,lns,956.4195502391954,1173,74596
B-n64-k9,nn_sa,1031.3267982030802,8635,186148
B-n64-k9,nn_lns,997.8583013137752,1154,240484
B-n64-k9,sa_lns,901.4531363301278,7520,11620
B-n64-k9,all,995.1305148593431,8216,343204
B-n66-k9,baseline,1425.711490430664,756,254308
B-n66-k9,nn,1407.8627182982125,745,89572
B-n66-k9,sa,1567.2842963102548,7949,88036
B-n66-k9,lns,1483.7313568128116,1106,258532
B-n66-k9,nn_sa,1402.1545017057392,8258,349348
B-n66-k9,nn_lns,1398.5689846293435,1242,219172
B-n66-k9,sa_lns,1485.1077614448,8655,332452
B-n66-k9,all,1372.2819766999628,8671,263140
B-n67-k10,baseline,1358.6029540399495,869,294244
B-n67-k10,nn,1188.9933213471272,893,100516
B-n67-k10,sa,1196.0705983857724,7206,323620
B-n67-k10,lns,1088.9146591350825,1470,102244
B-n67-k10,nn_sa,1126.5021335335646,7617,215716
B-n67-k10,nn_lns,1134.9051705565191,1481,8548
B-n67-k10,sa_lns,1149.0279368115876,9308,98404
B-n67-k10,all,1132.799702311532,8495,121252
B-n68-k9,baseline,1537.0352438548198,799,339364
B-n68-k9,nn,1316.5205857882645,803,297124
B-n68-k9,sa,1421.6017374053813,8658,150244
B-n68-k9,lns,1385.6146715790287,1381,226660
B-n68-k9,nn_sa,1300.3504598591471,9630,113380
B-n68-k9,nn_lns,1299.3800428993516,1452,71140
B-n68-k9,sa_lns,1470.484815670513,10668,240100
B-n68-k9,all,1316.136099941023,10386,32356
B-n78-k10,baseline,1472.8803808132802,891,289252
B-n78-k10,nn,1329.926175355468,947,133924
B-n78-k10,sa,1464.4447558933393,10898,349924
B-n78-k10,lns,1374.2481530646032,1586,134308
B-n78-k10,nn_sa,1375.065456591839,14137,284068
B-n78-k10,nn_lns,1323.3936378928586,1480,142372
B-n78-k10,sa_lns,1384.8829414468585,12280,69796
B-n78-k10,all,1323.6923318602028,13529,39268
E-n101-k14,baseline,1233.1448472854447,1194,305380
E-n101-k14,nn,1229.0766877886927,1163,349156
E-n101-k14,sa,1270.8401336050358,13031,344356
E-n101-k14,lns,1186.6200431420993,1685,265828
E-n101-k14,nn_sa,1256.4374489045863,13355,250852
E-n101-k14,nn_lns,1205.2569557342174,1674,305380
E-n101-k14,sa_lns,1161.388552267508,14777,138340
E-n101-k14,all,1207.5127168875892,14170,336484
E-n101-k8,baseline,973.2201325538744,1009,340516
E-n101-k8,nn,908.2839063802426,1150,299812
E-n101-k8,sa,950.9474712621904,31920,335908
E-n101-k8,lns,864.9703675449671,2365,258340
E-n101-k8,nn_sa,879.6630652969232,32981,349348
E-n101-k8,nn_lns,872.8544333624255,1998,33316
E-n101-k8,sa_lns,881.0342046949328,34747,299236
E-n101-k8,all,862.7622487846843,35728,151780
E-n22-k4,baseline,375.2797871480125,433,224164
E-n22-k4,nn,384.05605815089905,490,1828
E-n22-k4,sa,383.5168302536042,1707,108196
E-n22-k4,lns,387.27454069247545,791,150820
E-n22-k4,nn_sa,384.05605815089905,1441,5668
E-n22-k4,nn_lns,384.05605815089905,746,2020
E-n22-k4,sa_lns,384.05605815089905,1699,7012
