Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
B-n67-k10,1082.1402208707436,1105.4563225660102,18.623164019246953,62068.6,66/66
B-n68-k9,1319.131612936288,1354.2529991839015,36.94136855690685,125700.0,67/67
B-n78-k10,1258.8948926651085,1321.950309662544,40.13995289062879,112700.2,77/77
B-n57-k7,1144.188561108104,1318.8439431698018,206.71132801073773,107079.2,56/56
B-n31-k5,677.1555944548586,685.2454211317164,4.531133760449114,73169.8,30/30
B-n34-k5,790.0603505793069,793.0710745736787,4.017107910224822,45631.2,33/33
B-n35-k5,979.7156853161794,985.6611759638608,5.80373659380793,62075.2,34/34
B-n38-k6,818.8075385086485,826.9301661620077,8.15758767575557,149782.0,37/37
B-n39-k5,563.4007686270975,612.1075559974242,54.85293858389944,70429.0,38/38
B-n41-k6,838.2750195858316,899.0869477083368,46.93353336320292,78449.8,40/40
B-n43-k6,762.303772656475,768.5528753913802,3.6527244889639627,187476.0,42/42
B-n44-k7,927.2943595567904,955.5208173595989,35.266095256048885,78068.2,43/43
B-n45-k5,787.0572330095779,827.8425493488976,37.16334005988382,151486.0,44/44
B-n45-k6,698.7964642579757,747.1562572215784,50.51043633941234,88495.2,44/44
B-n50-k7,744.2280442400831,750.5935360123574,5.963296040321216,127147.2,49/49
B-n50-k8,1330.5490093476762,1340.4490525634453,12.578395992930076,138245.8,49/49
B-n51-k7,1160.5894084741312,1167.8971580137047,5.55713134821282,65588.4,50/50
B-n52-k7,754.3881340436028,758.6569813769153,4.465867657743803,119503.2,51/51
B-n56-k7,726.364010062944,771.643155368033,53.228258214403034,71059.4,55/55
B-n57-k7,1147.6850648376046,1287.6969959840185,175.50715087713397,69062.8,56/56
B-n57-k9,1626.4936162546894,1667.2919371479384,49.82262549680737,149392.0,56/56
B-n63-k10,1559.7084018114037,1602.7633651197787,36.33034658652653,214080.0,62/62
B-n64-k9,956.2080780864137,1037.7984652151717,75.05983707248457,152852.4,63/63
B-n66-k9,1371.7452305061731,1396.2128056687832,16.082572846695577,129258.8,65/65
B-n67-k10,1061.814533473296,1122.3804661223855,40.87525336066735,262063.6,66/66
B-n68-k9,1310.065544817385,1350.3022718141924,53.26009867471412,25660.0,67/67
B-n78-k10,1271.1858029728937,1324.3166009319198,45.836974567399885,137423.2,77/77
B-n31-k5,676.0884122584414,684.212735889655,5.136580839185622,39626.4,30/30
B-n34-k5,790.0603505793069,793.9586927968652,5.631399099013361,73411.6,33/33
B-n35-k5,956.29409898826,980.1705219186827,16.859963460219543,57332.0,34/34
B-n38-k6,808.7026097356143,817.4273183029924,7.945699045087479,65191.0,37/37
B-n39-k5,553.2673599367333,567.6224259516482,19.11971262198116,19760.6,38/38
B-n41-k6,853.3442590063671,881.4160789364765,31.653670294187027,103735.6,40/40
B-n43-k6,755.0319376698039,776.4811143668478,12.89807482930681,75324.8,42/42
B-n44-k7,933.1551460107839,970.4151730657493,31.255381187645785,144852.6,43/43
B-n45-k5,777.0374470727702,823.1471913893453,36.95159591565999,101382.8,44/44
B-n45-k6,740.3494327366307,785.660295588502,32.029509785144015,101706.0,44/44
B-n50-k7,744.2280442400831,745.8932230133651,2.662680397354349,103980.0,49/49
B-n50-k8,1335.0469411537365,1342.7510524142015,6.676490061053037,112455.4,49/49
B-n51-k7,1077.324976643099,1137.429674693985,50.218484753536806,10684.8,50/50
B-n52-k7,752.2348268778377,771.070050203145,32.394504064413105,76383.2,51/51
B-n56-k7,723.3485370185151,754.344526259942,30.038683743545906,31186.6,55/55
B-n57-k7,1148.8684203635887,1167.8409383675487,26.245232699405605,155236.0,56/56
B-n57-k9,1637.3376411846432,1671.9736047205097,33.96930501278426,95654.8,56/56
B-n63-k10,1539.2531199095356,1577.8904637778207,24.915656719920857,169940.0,62/62
B-n64-k9,915.5361482089371,993.5197365381755,68.15169395494196,201170.8,63/63
B-n66-k9,1369.695671273195,1396.7298807937054,23.076922810903383,115684.4,65/65
B-n67-k10,1083.7335383137902,1111.3876079847614,26.057127329810697,142265.6,66/66
B-n68-k9,1329.029104721725,1355.4241768812642,24.355876715123095,125420.0,67/67
B-n78-k10,1311.6655156759496,1354.613851052984,42.39500518945116,76238.8,77/77
B-n31-k5,681.389492256128,686.1788824773573,2.6869509071695576,23530.2,122.4,30/30
B-n34-k5,790.0603505793069,792.763116060227,3.7020564589830305,69750.0,351.0,33/33
B-n35-k5,961.720016007742,987.1504406207912,21.793545075253306,171639.2,876.2,34/34
B-n38-k6,808.7026097356141,823.5420416456093,10.039632614308479,60316.0,309.8,37/37
B-n39-k5,557.3813953955797,572.0985262783871,15.076294075221941,85401.0,434.0,38/38
B-n41-k6,843.4611128801204,863.19334246096,35.844287022685556,76078.0,379.0,40/40
B-n43-k6,762.9470378111075,768.5818744711291,6.689119684044149,101549.6,518.6,42/42
B-n44-k7,931.7160002488164,963.5847503870284,32.80991047428614,46069.0,232.0,43/43
B-n45-k5,781.507354125563,834.0869279620822,38.91753974897767,162790.8,806.4,44/44
B-n45-k6,727.9074139480931,760.5005526835258,20.466516503960523,84334.0,418.0,44/44
B-n50-k7,753.7168420010969,759.1622374440024,5.913809092881015,78970.4,403.4,49/49
B-n50-k8,1335.5751623427152,1346.231714831561,12.597250551278796,63262.6,318.4,49/49
B-n51-k7,1060.2816994942502,1143.0287687393395,72.9875624631897,69386.0,344.0,50/50
