Instance,BestCost,MeanCost,StdDevCost,MeanFE,MeanGenerations,Satisfability
E-n33-k4,850.8097793437419,872.2851787233203,17.726733287744388,123281.0,620.0,32/32
E-n51-k5,542.3706636793316,585.2077404233279,27.568124685902607,94232.0,467.0,50/50
E-n76-k10,920.1872231538648,965.5183958511938,36.07566385032671,113866.4,564.2,75/75
E-n76-k14,1128.9008700774787,1179.7772423757992,54.322943407695405,132935.2,658.6,75/75
E-n76-k7,713.0391679948256,730.6811462530228,21.349859920019213,62509.6,317.8,75/75
E-n76-k8,816.8673279567386,838.0687788021684,14.254309104527277,167332.0,833.0,75/75
P-n101-k4,705.7107593626904,729.6577085325059,22.74235238859642,218721.4,1099.6,100/100
P-n16-k8,451.33508020861797,451.4574825928581,0.2737000517689148,59160.6,300.8,15/15
P-n19-k2,212.6569041858923,218.3346905582692,3.1739790725891375,28703.2,142.6,18/18
P-n20-k2,218.30889390027937,219.79450543649347,3.321928383132554,19168.8,95.4,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1540.0,8.2,20/20
P-n22-k2,217.85215074022966,219.0633901941667,2.7084137560329147,2443.2,12.6,21/21
P-n22-k8,594.4508156333898,603.8179770612451,10.619885190126416,34149.4,170.4,21/21
P-n23-k8,531.1738035458811,539.1805865787834,9.83667837269541,10563.6,52.8,22/22
P-n40-k5,461.72617176318863,475.56198314805505,21.689159568411835,58924.2,299.6,39/39
P-n45-k5,521.1367611833625,535.6386594303997,17.28653313369251,93540.0,468.2,44/44
P-n50-k10,718.3094216109208,761.6411824057308,27.948299874626585,171880.8,851.4,49/49
P-n50-k7,565.9030016219241,585.4731988167683,22.589299724343142,91122.6,458.4,49/49
P-n50-k8,650.0207850411324,661.1674169670187,11.869367986797593,29309.2,145.6,49/49
P-n51-k10,801.7959805145472,822.8391858651725,17.071112274534734,213492.8,1057.4,50/50
P-n55-k10,724.087667902772,731.6414568591752,9.373993467060838,78705.0,396.0,54/54
P-n55-k15,963.7191759595553,978.3331285767301,13.054457834748227,127036.8,629.4,54/54
P-n55-k7,584.7773317915339,601.9343911924866,12.35758311856025,172869.0,878.0,54/54
P-n55-k8,597.0851878110419,617.3922383677302,20.695766012237165,105085.6,547.8,54/54
P-n60-k10,781.8019104657801,795.7400928261402,14.368686662549218,125443.6,624.6,59/59
P-n60-k15,1027.241534584825,1042.9958532487035,19.645520200470468,227342.4,864.8,59/59
P-n65-k10,831.0528634567908,875.6416588920449,36.97643909964048,97464.4,485.4,64/64
P-n70-k10,921.8092301586316,958.7218968364526,38.59222251782126,170709.2,845.6,69/69
P-n76-k4,666.599415190293,680.658749551369,22.20969783364537,99726.4,494.2,75/75
P-n76-k5,698.8776265235778,726.1128821669843,16.424928769252357,88616.4,439.2,75/75
