Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
A-n39-k6,850.7725647783094,870.838798630734,23.805086903195328,117275.6,38/38
A-n44-k6,973.963741309156,1023.6265268484449,34.317333184822125,203873.8,43/43
A-n45-k6,966.3142380367276,1061.2548025913516,82.97943788196694,76779.2,44/44
A-n45-k7,1162.29274627477,1173.5994910905101,10.87214095807563,164872.0,44/44
A-n46-k7,923.9550603541086,972.91257075598,30.640341251249488,60193.6,45/45
A-n48-k7,1139.2116816824137,1176.8788617607568,41.477846930861695,161153.2,47/47
A-n53-k7,1079.0284061147163,1122.3313973129927,44.75786179848673,113825.8,52/52
A-n54-k7,1251.4116645402644,1290.7194776387507,25.639716504206458,112412.0,53/53
A-n55-k9,1104.2794360294529,1147.4486635805304,33.065636566669944,100300.0,54/54
A-n60-k9,1392.1715094747742,1442.4097649091655,49.22215870871854,222300.0,59/59
A-n61-k9,1166.2197277024907,1196.947369822562,28.562449070433818,129541.6,60/60
A-n62-k8,1347.8499896554474,1390.8723147302385,32.649308266804184,126664.0,61/61
A-n63-k10,1369.0954089978025,1402.7061171613977,23.934944199513282,156700.0,62/62
A-n63-k9,1659.5523860581716,1751.1315589918675,64.5899588878938,192323.2,62/62
A-n64-k9,1473.2887798547317,1521.1076566439274,32.30382211439841,244676.8,63/63
A-n65-k9,1275.4966736942586,1318.173022309991,27.965732308393118,170709.2,64/64
A-n69-k9,1179.3355783930035,1236.1247800156443,46.878489422651406,140108.4,68/68
A-n80-k10,1903.1735808488588,1959.2796426838017,66.93223320267394,132157.0,79/79
